/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'ACALD_f                       '487.83160
'ACALD_b                       '  0.00000
'ACALDtex_f                    '  0.00000
'ACALDtex_b                    '  0.00000
'ACALDtpp_f                    '  0.00000
'ACALDtpp_b                    '  0.00000
'ACANTHAT                      '  0.00000
'ACBIPGT                       '  0.00000
'ACCOAC                        '293.36416
'ACCOAL                        '1.0000E+3
'ACGAL1PPpp                    '  0.00000
'ACGAL1Ptex_f                  '  0.00000
'ACGAL1Ptex_b                  '  0.00000
'ACGALtex_f                    '  0.00000
'ACGALtex_b                    '  0.00000
'ACGAM1PPpp                    '  0.00000
'ACGAM1Ptex_f                  '  0.00000
'ACGAM1Ptex_b                  '  0.00000
'ACGAMK                        ' 30.01919
'ACGAMT                        '  4.98899
'ACGAptspp                     '  0.00000
'ACGAtex_f                     '  0.00000
'ACGAtex_b                     '  0.00000
'ACGK                          ' 55.90533
'ACGS                          ' 55.90533
'ACHBS                         ' 50.36860
'ACKr_f                        '220.86842
'ACKr_b                        '  0.00000
'ACLS                          ' 97.98977
'ACM6PH                        ' 30.01919
'ACMAMUT                       '  4.98899
'ACMANAptspp                   '  0.00000
'ACMANAtex_f                   '  0.00000
'ACMANAtex_b                   '  0.00000
'ACMUMptspp                    '  0.00000
'ACMUMtex                      '  0.00000
'ACNAMt2pp                     '  0.00000
'ACNAMtex_f                    '  0.00000
'ACNAMtex_b                    '  0.00000
'ACNML                         '  0.00000
'ACOAD1f_f                     '  0.00000
'ACOAD1f_b                     '  0.00000
'ACOAD2f_f                     '  0.00000
'ACOAD2f_b                     '  0.00000
'ACOAD3f_f                     '  0.00000
'ACOAD3f_b                     '  0.00000
'ACOAD4f_f                     '  0.00000
'ACOAD4f_b                     '  0.00000
'ACOAD5f_f                     '  0.00000
'ACOAD5f_b                     '  0.00000
'ACOAD6f_f                     '  0.00000
'ACOAD6f_b                     '  0.00000
'ACOAD7f_f                     '  0.00000
'ACOAD7f_b                     '  0.00000
'ACOAD8f_f                     '  0.00000
'ACOAD8f_b                     '  0.00000
'ACOATA_f                      ' 17.60568
'ACOATA_b                      '  0.00000
'ACODA                         ' 53.31734
'ACOLIPAtex                    '  1.83599
'ACONIs_f                      '  0.00000
'ACONIs_b                      '  0.00000
'ACONMT                        '  0.00000
'ACONTa_f                      ' 89.32473
'ACONTa_b                      '  0.00000
'ACONTb_f                      ' 89.32473
'ACONTb_b                      '  0.00000
'ACOTA_f                       ' -0.10150
'ACOTA_b                       '  0.00000
'ACPS1                         '  0.00000
'ACS                           '1.0000E+3
'ACSERtex_f                    '  0.00000
'ACSERtex_b                    '  0.00000
'ACSERtpp                      ' 68.23658
'ACt2rpp_f                     '  0.00000
