* Pathways from iAF1260

2AGPE180tipp	2agpe180[p] --> 2agpe180[c]
2AGPE181tipp	2agpe181[p] --> 2agpe181[c]
2AGPEAT120	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi
2AGPEAT140	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi
2AGPEAT141	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi
2AGPEAT160	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi
2AGPEAT161	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi
2AGPEAT180	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi
2AGPEAT181	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi
2AGPG120tipp	2agpg120[p] --> 2agpg120[c]
2AGPG140tipp	2agpg140[p] --> 2agpg140[c]
2AGPG141tipp	2agpg141[p] --> 2agpg141[c]
2AGPG160tipp	2agpg160[p] --> 2agpg160[c]
2AGPG161tipp	2agpg161[p] --> 2agpg161[c]
2AGPG180tipp	2agpg180[p] --> 2agpg180[c]
2AGPG181tipp	2agpg181[p] --> 2agpg181[c]
2AGPGAT120	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi
2AGPGAT140	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi
2AGPGAT141	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi
2AGPGAT160	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi
2AGPGAT161	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi
2AGPGAT180	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi
2AGPGAT181	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi
2DGLCNRx	[c] : 2dhglcn + h + nadh --> glcn + nad
2DGLCNRy	[c] : 2dhglcn + h + nadph --> glcn + nadp
2DGULRx	[c] : 2dhguln + h + nadh --> idon-L + nad
2DGULRy	[c] : 2dhguln + h + nadph --> idon-L + nadp
2MAHMP	[c] : 2mahmp + h2o --> 4ampm + h + pi
34dhpactex	34dhpac[e] <==> 34dhpac[p]
3AMPtex	3amp[e] <==> 3amp[p]
3CMPtex	3cmp[e] <==> 3cmp[p]
3GMPtex	3gmp[e] <==> 3gmp[p]
3HAD100	[c] : 3hdecACP --> h2o + tdec2eACP
3HAD120	[c] : 3hddecACP --> h2o + tddec2eACP
3HAD121	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP
3HAD140	[c] : 3hmrsACP --> h2o + tmrs2eACP
3HAD141	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP
3HAD160	[c] : 3hpalmACP --> h2o + tpalm2eACP
3HAD161	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP
3HAD180	[c] : 3hoctaACP --> h2o + toctd2eACP
3HAD181	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP
3HAD40	[c] : 3haACP --> but2eACP + h2o
3HAD60	[c] : 3hhexACP --> h2o + thex2eACP
3HAD80	[c] : 3hoctACP --> h2o + toct2eACP
3HCINNMH	[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad
3HPPPNH	[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad
3KGK	[c] : 3dhguln + atp --> 3dhgulnp + adp + h
3NTD2pp	[p] : 3ump + h2o --> pi + uri
3NTD4pp	[p] : 3cmp + h2o --> cytd + pi
3NTD7pp	[p] : 3amp + h2o --> adn + pi
3NTD9pp	[p] : 3gmp + h2o --> gsn + pi
3OAR100	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp
3OAR120	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp
3OAR121	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp
3OAR140	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp
3OAR141	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp
3OAR160	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp
3OAR161	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp
3OAR180	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp
3OAR181	[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp
3OAR40	[c] : actACP + h + nadph <==> 3haACP + nadp
3OAR60	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp
3OAR80	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp
3OAS100	[c] : h + malACP + ocACP --> 3odecACP + ACP + co2
3OAS120	[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2
3OAS121	[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2
3OAS140	[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2
3OAS141	[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2
3OAS160	[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2
3OAS161	[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2
3OAS180	[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2
3OAS181	[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2
3OAS60	[c] : butACP + h + malACP --> 3ohexACP + ACP + co2
3OAS80	[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2
3PEPTabcpp	LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c]
3PEPTtex	LalaDgluMdap[e] <==> LalaDgluMdap[p]
3UMPtex	3ump[e] <==> 3ump[p]
42A12BOOXpp	[p] : dopa + h2o + o2 --> 34dhpac + h2o2 + nh4
4HOXPACDtex	4hoxpacd[e] <==> 4hoxpacd[p]
4HTHRS	[c] : h2o + phthr --> 4hthr + pi
4PCP	[c] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D
4PCPpp	[p] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D
4PEPTabcpp	LalaDgluMdapDala[p] + atp[c] + h2o[c] --> LalaDgluMdapDala[c] + adp[c] + h[c] + pi[c]
4PEPTtex	LalaDgluMdapDala[e] <==> LalaDgluMdapDala[p]
5DGLCNR	[c] : 5dglcn + h + nadph <==> glcn + nadp
5DGLCNt2rpp	5dglcn[p] + h[p] <==> 5dglcn[c] + h[c]
5DGLCNtex	5dglcn[e] <==> 5dglcn[p]
5DOAN	[c] : dad-5 + h2o --> 5drib + ade
A5PISO	[c] : ru5p-D <==> ara5p
AACPS1	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi
AACPS2	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP
